ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-24T18:00:00+00:00,1787594400000,0.04682,1000.0,1000.0,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T19:00:00+00:00,1787598000000,0.04681,1000.0,1000.0,1000.0,1000.0,1000.0,998.2875,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T20:00:00+00:00,1787601600000,0.04696,1000.0,1000.0,1000.0,1000.0,1000.0,1001.4864,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T21:00:00+00:00,1787605200000,0.04719,1000.0,1000.0,1000.0,1000.0,1000.0,1006.3915,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T22:00:00+00:00,1787608800000,0.04687,1000.0,1000.0,1000.0,1000.0,1000.0,999.5671,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T23:00:00+00:00,1787612400000,0.047,1000.0,1000.0,1000.0,1000.0,1000.0,1002.3395,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-25T00:00:00+00:00,1787616000000,0.04748,1000.0,1000.0,1000.0,1000.0,1000.0,1012.5762,1000.0,998.5007,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T01:00:00+00:00,1787619600000,0.04727,1000.0,1000.0,1000.0,1000.0,1000.0,1008.0976,1000.0,994.0845,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T02:00:00+00:00,1787623200000,0.04783,1000.0,1000.0,1000.0,1000.0,1000.0,1020.0404,1000.0,1005.8612,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T03:00:00+00:00,1787626800000,0.04796,1000.0,1000.0,998.5007,998.5007,998.5007,1022.8128,1000.0,1008.5951,1000.0,1000.0,998.5007,1000.0,0,0,1,1,1,1,0,1,0,0,1,0
2026-08-25T04:00:00+00:00,1787630400000,0.04849,1000.0,998.5007,1009.5351,1009.5351,1009.5351,1034.1158,1000.0,1019.741,998.5007,1000.0,1009.5351,1000.0,0,1,1,1,1,1,0,1,1,0,1,0
2026-08-25T05:00:00+00:00,1787634000000,0.04843,1000.0,997.2652,1008.2859,1008.2859,1008.2859,1032.8362,1000.0,1018.4792,997.2652,1000.0,1008.2859,1000.0,0,1,1,1,1,1,0,1,1,0,1,0
2026-08-25T06:00:00+00:00,1787637600000,0.04791,1000.0,986.5575,997.4598,997.4598,997.4598,1021.7465,1000.0,1007.5436,986.5575,1000.0,997.4598,1000.0,0,1,1,1,1,1,0,1,1,0,1,0
2026-08-25T07:00:00+00:00,1787641200000,0.0476,1000.0,980.174,991.0057,991.0057,991.0057,1015.1353,1000.0,1001.0243,980.174,1000.0,991.0057,1000.0,0,1,1,1,1,1,0,1,1,0,1,0
2026-08-25T08:00:00+00:00,1787644800000,0.04776,1000.0,983.4687,994.3369,994.3369,994.3369,1018.5475,1000.0,1004.3891,983.4687,1000.0,994.3369,1000.0,0,1,1,1,1,1,0,1,1,0,1,0
2026-08-25T09:00:00+00:00,1787648400000,0.04787,1000.0,985.7338,996.627,996.627,996.627,1020.8934,1000.0,1006.7024,985.7338,1000.0,996.627,1000.0,0,1,1,1,1,1,0,1,1,0,1,0
2026-08-25T10:00:00+00:00,1787652000000,0.04756,1000.0,979.3503,990.173,990.173,990.173,1014.2823,1000.0,1000.1831,977.8818,1000.0,990.173,1000.0,0,1,1,1,1,1,0,1,0,0,1,0
2026-08-25T11:00:00+00:00,1787655600000,0.04718,1000.0,970.0686,982.2616,982.2616,982.2616,1004.6695,1000.0,990.704,977.8818,1000.0,982.2616,1000.0,0,0,1,1,1,0,0,0,0,0,1,0
